,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,55.7,67.9,47.199999999999996,4.1000000000000005,5.8999999999999995,3.2,15.111915828246266
address.n,31.3,24.0,45.0,30.3,25.3,37.8,30.795941291020803
camp.n,38.2,35.6,41.199999999999996,20.0,18.9,21.3,27.640549922170507
innovation.n,28.199999999999996,17.8,68.10000000000001,23.400000000000002,15.6,47.099999999999994,25.688129554329173
mind.n,36.199999999999996,84.39999999999999,23.0,3.5999999999999996,12.5,2.1,11.415778554264268
park.n,31.4,31.6,31.3,19.400000000000002,18.0,21.0,24.681166909204276
reputation.n,12.6,8.200000000000001,27.500000000000004,15.6,11.700000000000001,23.599999999999998,14.019985734657507
gap.n,25.5,17.599999999999998,46.1,22.900000000000002,17.299999999999997,33.800000000000004,24.165057417684736
challenge.n,63.5,89.0,49.4,9.4,26.900000000000002,5.7,24.431536996267752
failure.n,48.9,80.30000000000001,35.199999999999996,2.7,5.8999999999999995,1.7999999999999998,11.490430801323335
air.n,44.0,98.3,28.4,0.7000000000000001,14.000000000000002,0.4,5.549774770204643
moment.n,65.4,85.9,52.800000000000004,1.0,1.9,0.7000000000000001,8.087026647662292
tour.n,17.599999999999998,13.5,25.3,23.7,19.400000000000002,30.5,20.423515857951585
movement.n,65.10000000000001,98.1,48.699999999999996,4.2,24.8,2.3,16.535416535424805
body.n,49.5,97.7,33.2,1.7000000000000002,18.2,0.8999999999999999,9.173330910852394
guarantee.n,43.5,71.89999999999999,31.2,4.3999999999999995,8.1,3.0,13.834738884417009
class.n,43.0,89.7,28.299999999999997,2.0,10.0,1.0999999999999999,9.273618495495704
road.n,56.699999999999996,98.0,39.900000000000006,0.7000000000000001,9.700000000000001,0.4,6.3
speed.n,67.4,97.89999999999999,51.300000000000004,5.4,25.7,3.0,19.077735714701575
foundation.n,32.2,23.0,53.7,16.7,12.8,24.2,23.189221634198937
idea.n,47.0,98.6,30.9,0.7000000000000001,13.600000000000001,0.3,5.735852159879995
entry.n,46.9,67.4,36.0,10.5,16.6,7.7,22.1912144778063
flight.n,49.1,98.4,32.800000000000004,1.9,22.6,1.0,9.65867485734974
origin.n,25.5,19.8,36.0,29.7,23.400000000000002,40.5,27.51999273255718
note.n,52.300000000000004,98.5,35.6,2.1,24.5,1.0999999999999999,10.47998091601316
rally.n,28.9,19.900000000000002,52.6,19.3,13.3,35.099999999999994,23.617154782064667
gas.n,73.1,95.1,59.4,8.9,21.6,5.6000000000000005,25.50666579543473
chip.n,27.700000000000003,18.4,55.900000000000006,14.499999999999998,10.6,22.8,20.04120754844877
mark.n,38.3,28.799999999999997,57.3,23.9,19.5,31.0,30.25508221770352
margin.n,35.699999999999996,71.3,23.799999999999997,12.9,26.700000000000003,8.5,21.45996272130965
function.n,51.0,89.4,35.699999999999996,13.8,35.8,8.5,26.529229163320974
legislation.n,57.199999999999996,67.7,49.5,3.0,3.5999999999999996,2.6,13.099618315050252
screen.n,35.0,37.8,32.6,31.1,31.5,30.599999999999998,32.992423372647245
commission.n,56.599999999999994,80.60000000000001,43.6,6.7,14.499999999999998,4.3,19.473571834668647
display.n,50.2,86.6,35.4,16.1,34.2,10.5,28.42921033022198
office.n,45.300000000000004,57.699999999999996,37.3,1.6,2.3,1.3,8.513518661517105
dealer.n,51.0,43.4,61.7,27.200000000000003,22.400000000000002,34.5,37.2451339103513
community.n,47.8,96.1,31.900000000000002,7.9,35.4,4.5,19.432447092427655
house.n,70.3,98.4,54.7,0.4,5.2,0.2,5.302829433425141
shape.n,45.300000000000004,91.60000000000001,30.099999999999998,10.100000000000001,32.5,5.8999999999999995,21.389950911584627
access.n,48.1,90.2,32.800000000000004,11.700000000000001,30.8,7.199999999999999,23.72277386816306
field.n,52.1,98.9,35.4,1.2,20.200000000000003,0.6,7.906958960308318
edge.n,36.9,94.3,22.900000000000002,14.6,55.00000000000001,8.4,23.21077336066164
cell.n,29.799999999999997,19.7,60.4,26.5,20.8,36.6,28.101601377857452
officer.n,75.2,66.4,86.7,48.699999999999996,40.9,60.3,60.51644404622598
market.n,62.7,97.8,46.2,0.3,2.3,0.2,4.337049688440288
promotion.n,61.6,77.7,51.1,46.7,56.00000000000001,40.1,53.635063158348196
accounting.n,58.5,95.3,42.199999999999996,7.1,28.9,4.1000000000000005,20.38013738913455
television.n,58.3,94.39999999999999,42.199999999999996,5.3,20.5,3.0,17.578111388883617
campaign.n,32.0,25.5,43.0,13.5,10.8,17.8,20.784609690826528
cheat.v,32.4,21.0,70.8,31.7,20.1,75.3,32.04808886657674
assemble.v,65.60000000000001,95.5,49.9,5.7,18.6,3.4000000000000004,19.337011144434914
root.v,57.599999999999994,77.8,45.800000000000004,30.8,44.1,23.599999999999998,42.119829059482186
reveal.v,63.800000000000004,95.19999999999999,48.0,0.4,1.6,0.2,5.0517323761260355
haunt.v,65.60000000000001,57.099999999999994,76.9,39.7,31.7,53.2,51.032538639577794
operate.v,41.4,33.1,55.400000000000006,3.5999999999999996,2.6,6.1,12.208193969625482
frame.v,51.1,100.0,34.300000000000004,42.199999999999996,100.0,26.8,46.4372695149058
