,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,63.9,92.80000000000001,48.8,2.6,9.700000000000001,1.5,12.889530635364501
address.n,56.2,88.5,41.099999999999994,4.3999999999999995,10.9,2.8000000000000003,15.725139109082628
camp.n,54.400000000000006,85.39999999999999,40.0,3.1,6.9,2.0,12.986146464598342
innovation.n,70.5,67.0,74.3,31.900000000000002,28.1,36.8,47.42309563915034
mind.n,38.5,99.4,23.9,2.7,43.0,1.4000000000000001,10.195587280779858
park.n,48.199999999999996,94.3,32.4,10.9,41.099999999999994,6.3,22.921169254643186
reputation.n,22.1,15.7,37.5,18.5,14.299999999999999,26.200000000000003,20.22003956474863
gap.n,61.7,97.5,45.1,4.9,26.8,2.7,17.38763928772391
challenge.n,67.30000000000001,99.6,50.8,7.1,52.5,3.8,21.85932295383368
failure.n,48.9,89.4,33.7,8.1,27.700000000000003,4.7,19.902009948746382
air.n,43.7,96.6,28.199999999999996,1.3,15.8,0.7000000000000001,7.5372408744845085
moment.n,69.1,97.39999999999999,53.5,0.2,0.7000000000000001,0.1,3.7175260590882213
tour.n,21.6,19.6,24.2,16.5,14.499999999999998,19.0,18.87855926706273
movement.n,44.0,45.5,42.5,7.6,7.5,7.7,18.286607121059937
body.n,49.2,96.2,33.0,2.1999999999999997,17.5,1.2,10.403845442911962
guarantee.n,43.6,73.8,31.0,5.1,10.0,3.4000000000000004,14.91174034108695
class.n,45.300000000000004,99.0,29.4,1.6,27.900000000000002,0.8,8.513518661517105
road.n,56.699999999999996,98.0,39.900000000000006,0.7000000000000001,9.700000000000001,0.4,6.3
speed.n,69.3,93.4,55.1,19.400000000000002,38.3,13.0,36.666333331818166
foundation.n,69.6,98.3,53.900000000000006,6.2,30.3,3.5000000000000004,20.773059476158057
idea.n,47.599999999999994,99.9,31.2,2.4,50.1,1.2,10.68831137270991
entry.n,52.6,80.7,39.0,3.9,8.799999999999999,2.5,14.322709240922263
flight.n,48.6,97.39999999999999,32.4,1.0999999999999999,13.900000000000002,0.6,7.311634564172364
origin.n,54.1,39.6,85.7,56.99999999999999,44.3,80.10000000000001,55.53107238294611
note.n,52.7,94.69999999999999,36.5,7.9,33.900000000000006,4.3999999999999995,20.404166241236126
rally.n,32.0,22.3,56.8,14.799999999999999,10.4,25.8,21.762352813976708
gas.n,71.5,97.89999999999999,56.3,0.7000000000000001,5.800000000000001,0.4,7.074602462329597
chip.n,63.4,97.7,46.9,1.0,9.3,0.5,7.962411694957753
mark.n,31.4,22.1,54.300000000000004,24.7,19.2,34.599999999999994,27.849236973389413
margin.n,35.199999999999996,72.0,23.3,12.4,26.6,8.1,20.89210377152095
function.n,52.5,88.4,37.4,16.1,35.8,10.4,29.073183520213263
legislation.n,65.60000000000001,97.3,49.5,2.8000000000000003,14.499999999999998,1.6,13.552859476877934
screen.n,45.9,90.8,30.7,5.4,24.6,3.0,15.743570116082312
commission.n,61.1,94.5,45.2,1.9,9.9,1.0,10.774506949276148
display.n,47.599999999999994,79.4,34.0,9.3,18.2,6.3,21.039961977151954
office.n,53.1,99.2,36.3,0.4,10.299999999999999,0.2,4.608687448721165
dealer.n,63.0,96.6,46.800000000000004,13.3,40.6,7.9,28.946502379389468
community.n,46.400000000000006,96.3,30.599999999999998,1.0,8.0,0.5,6.811754546370561
house.n,69.5,95.0,54.900000000000006,1.0999999999999999,4.9,0.6,8.743569065318807
shape.n,44.2,95.6,28.799999999999997,4.0,26.8,2.1,13.29661611087573
access.n,47.3,97.7,31.2,5.4,35.4,2.9000000000000004,15.981864722240642
field.n,52.6,99.9,35.699999999999996,3.0,52.5,1.6,12.561846997953765
edge.n,25.1,20.8,31.900000000000002,44.1,39.0,50.7,33.27025698728521
cell.n,65.3,96.7,49.3,0.8,6.9,0.4,7.227724399837061
officer.n,57.199999999999996,98.5,40.300000000000004,0.6,9.5,0.3,5.858327406350723
market.n,63.0,99.5,46.1,0.0,1.0999999999999999,0.0,0.0
promotion.n,48.3,89.3,33.1,4.3,17.599999999999998,2.5,14.411453778158537
accounting.n,34.9,24.4,61.8,42.699999999999996,32.7,61.5,38.60349725089684
television.n,58.3,95.89999999999999,41.8,0.5,2.6,0.3,5.399073994677235
campaign.n,56.00000000000001,98.3,39.1,0.8999999999999999,11.600000000000001,0.5,7.0992957397195395
cheat.v,44.4,34.599999999999994,62.2,19.7,14.299999999999999,31.5,29.57498943364139
assemble.v,64.5,93.89999999999999,49.1,3.9,12.5,2.3,15.860327865463564
root.v,63.0,92.10000000000001,47.9,28.1,55.800000000000004,18.7,42.07493315502712
reveal.v,63.800000000000004,95.19999999999999,48.0,0.4,1.6,0.2,5.0517323761260355
haunt.v,23.3,14.299999999999999,62.5,39.5,26.0,82.69999999999999,30.337270806715622
operate.v,69.69999999999999,94.89999999999999,55.1,4.6,11.799999999999999,2.9000000000000004,17.905864960956226
frame.v,45.800000000000004,97.89999999999999,29.9,18.2,64.60000000000001,10.6,28.871439174381315
assert.v,55.60000000000001,92.9,39.6,8.0,21.9,4.9,21.090282122342508
introduce.v,74.2,94.19999999999999,61.199999999999996,1.9,6.1,1.0999999999999999,11.873499905251188
swear.v,38.3,64.0,27.3,23.0,37.3,16.7,29.679959568705616
