,fscore,precision,recall,vmeasure,homogenity,completeness,(fs * vm) ** 0.5
threat.n,65.10000000000001,96.3,49.2,1.4000000000000001,8.3,0.7000000000000001,9.5467271878901
address.n,57.599999999999994,98.1,40.699999999999996,8.3,41.199999999999996,4.6,21.865040589946318
camp.n,57.199999999999996,93.7,41.199999999999996,9.700000000000001,27.1,5.8999999999999995,23.55504192312126
innovation.n,16.7,10.100000000000001,47.5,7.3,4.8,15.299999999999999,11.041286156965592
mind.n,38.5,99.4,23.9,2.7,43.0,1.4000000000000001,10.195587280779858
park.n,47.599999999999994,96.5,31.6,5.6000000000000005,33.900000000000006,3.0,16.32666530556684
reputation.n,53.0,91.0,37.4,15.0,37.6,9.3,28.19574435974337
gap.n,61.7,97.5,45.1,4.9,26.8,2.7,17.38763928772391
challenge.n,67.9,98.7,51.7,7.6,34.0,4.3,22.71651381704508
failure.n,33.800000000000004,34.5,33.1,16.5,16.6,16.400000000000002,23.615672761960436
air.n,43.7,96.6,28.199999999999996,1.3,15.8,0.7000000000000001,7.5372408744845085
moment.n,69.1,97.39999999999999,53.5,0.2,0.7000000000000001,0.1,3.7175260590882213
tour.n,16.5,12.2,25.7,17.599999999999998,14.6,22.1,17.041126723312633
movement.n,62.4,90.0,47.699999999999996,0.8,2.1,0.5,7.0654086930622775
body.n,49.2,96.2,33.0,2.1999999999999997,17.5,1.2,10.403845442911962
guarantee.n,46.0,88.0,31.1,6.9,23.400000000000002,4.0,17.81572339255412
class.n,44.6,97.5,28.9,0.7000000000000001,12.7,0.4,5.5874860178795975
road.n,56.699999999999996,98.0,39.900000000000006,0.7000000000000001,9.700000000000001,0.4,6.3
speed.n,65.60000000000001,93.0,50.7,1.2,3.4000000000000004,0.7000000000000001,8.872429205127535
foundation.n,67.2,94.89999999999999,52.0,1.5,7.5,0.8999999999999999,10.039920318408907
idea.n,47.599999999999994,99.9,31.2,2.4,50.1,1.2,10.68831137270991
entry.n,55.400000000000006,93.5,39.4,2.1999999999999997,11.600000000000001,1.2,11.039927535994066
flight.n,48.5,94.3,32.6,2.0,10.6,1.0999999999999999,9.848857801796104
origin.n,53.900000000000006,95.6,37.5,11.700000000000001,39.2,6.9,25.112347560512937
note.n,52.7,94.69999999999999,36.5,7.9,33.900000000000006,4.3999999999999995,20.404166241236126
rally.n,56.599999999999994,67.5,48.699999999999996,1.7999999999999998,2.1,1.5,10.093562304756432
gas.n,72.89999999999999,99.9,57.4,6.7,56.89999999999999,3.5999999999999996,22.100452484055612
chip.n,63.4,97.7,46.9,1.0,9.3,0.5,7.962411694957753
mark.n,34.9,25.900000000000002,53.2,18.4,14.899999999999999,24.0,25.34087607009671
margin.n,32.800000000000004,45.5,25.7,23.5,28.7,19.8,27.76328510821441
function.n,51.2,98.0,34.699999999999996,9.6,50.5,5.3,22.17025033688163
legislation.n,63.5,88.9,49.4,8.3,17.299999999999997,5.5,22.957569557773315
screen.n,14.399999999999999,10.100000000000001,25.0,28.000000000000004,22.7,36.5,20.079840636817814
commission.n,61.1,94.5,45.2,1.9,9.9,1.0,10.774506949276148
display.n,22.1,15.8,36.8,30.9,24.8,40.8,26.13216408948941
office.n,52.900000000000006,97.89999999999999,36.199999999999996,0.3,3.8,0.2,3.983716857408418
dealer.n,61.9,98.9,45.0,5.2,33.800000000000004,2.8000000000000003,17.941014464070864
community.n,46.7,96.0,30.8,1.0999999999999999,7.6,0.6,7.167286794875729
house.n,71.3,99.8,55.50000000000001,2.8000000000000003,36.5,1.4000000000000001,14.12940196894405
shape.n,29.4,25.2,35.4,25.4,22.400000000000002,29.299999999999997,27.326909814320388
access.n,49.8,99.4,33.2,19.1,77.0,10.9,30.841206202092682
field.n,52.6,99.9,35.699999999999996,3.0,52.5,1.6,12.561846997953765
edge.n,35.699999999999996,96.2,21.9,7.3,43.8,4.0,16.143419712068443
cell.n,64.2,93.5,48.9,1.5,8.0,0.8999999999999999,9.813256340277675
officer.n,57.8,98.9,40.9,3.1,27.3,1.6,13.385813385820079
market.n,63.1,99.8,46.1,0.2,12.5,0.1,3.5524639336663224
promotion.n,48.3,89.3,33.1,4.3,17.599999999999998,2.5,14.411453778158537
accounting.n,60.4,98.4,43.6,14.000000000000002,56.8,8.0,29.079202189881347
